"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1307940001205867,100059696381710,avilonROBOTICS,"นิยามใหม่ของคลังสินค้าอัจฉริยะ: Avilon Robotics โชว์บินโดรนอัตโนมัติ 100% ณ TTK Logistics Center

TTK Logistics ผู้เชี่ยวชาญด้าน Supply Chain ให้กับยักษ์ใหญ่อย่าง Toyota ได้จัดงาน Exclusive Showcase ภายใน ""Warehouse and Package Solution Exhibition"" โดย Avilon Robotics เป็นหนึ่งใน Tech Partner ของ TTK, ในงานนี้ เป็นการแสดงนวัตกรรมใหม่สำหรับงาน Logistics ให้กับเหล่สพันธมิตรในเครือของ TTK ได้เห็นของจริง

โชว์ศักยภาพบนพื้นที่ใช้งานจริง
นอกจากการมตั้งบูธ เรายังได้รับโอกาสทำ Live Demonstration บินนับสต๊อกบน Selective Rack จริงภายใน TTK Logistics Center โดยโชว์เน้นใน 2 ส่วนหัวใจหลักๆ ของ Avilon Warehouse Drone

• Pilotless Operations — โดรนบินอัตโนมัติ 100% ทำงานถ่ายภาพบนชั้นในที่สูงเอง ไม่ต้องมีคนบังคับ
• WMS Integration & Label Matching — นำภาพถ่ายที่ได้มาประมวลผล ทำการ Matching Label และอัพเดตขึ้นบน WMS ทันที เพื่อตรวจสอบความถูกต้องของสินค้าเทียบกับฐานข้อมูลได้อย่างรวดเร็ว

Partner to Partner
โอกาสนี้ทำให้เทคโนโลยีฝีมือคนไทยได้พิสูจน์ตัวเองในสนามจริงระดับอุตสาหกรรม ขอบคุณ TTK Logistics สำหรับพื้นที่และความไว้วางใจในการร่วมขับเคลื่อน Smart Logistics ไปด้วยกันครับ

Photos by : TTK
#AvilonRobotics #TTKLogistics #SmartWarehouse #AutonomousDrone #WMSIntegration #LogisticsInnovation",,0,"03/03/2026 20:57",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid027M1FfoTtkZrgxAGuQK6ZHeiUCmg21gzXRhkY16XrPTtN7X7Rp2QcheTgswFx3tHal,0,0,Photos,,,,,Lifetime,472,253,8,8,0,0,71,51,20,,,,,,
1280044067328794,100059696381710,avilonROBOTICS,"Avilon จัดใหญ่ จัดเต็ม
ในงาน Thai Cargo Expo 2026
ณ ไบเทค บางนา ฮอลล์ EH100

พบกับโซลูชันโดรนนับสต๊อกคลังสินค้า โดรนบินภายในอาคาร และโดรนประเภทอื่น ๆ สำหรับ อุตสาหกรรม โลจิสติกส์ และงานรักษาความปลอดภัย

ไฮไลท์ภายในงานคือ Drone Show Zone ของทาง เอวิลอน ลานบินโดรนขนาดใหญ่ พร้อมการจำลองคลังสินค้าขนาดย่อม และการสาธิตบินนับสต๊อกจริงให้ชมภายในงาน

แล้วมาพบกันได้ที่
บูธ D5 ฮอลล์ EH100
ตั้งแต่วันนี้ – 30 มกราคม 2026
เวลา 09.00 – 17.00 น.

สอบถามข้อมูลเพิ่มเติม โทร. 098-948-9743
น้องฟ้าใสยินดีให้บริการค่ะ

#Avilon #ThaiCargoExpo2026 #DroneTechnology #WarehouseDrone #DroneInventory #SmartWarehouse #LogisticsTechnology #IndustrialDrone #DroneShowZone #BITECBangna",,0,"01/28/2026 19:37",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid0SVZdSid8w8UoTQgPToh8awBLYHQ63sVoQ5CkhYDFYwfGFXRA3vi7bhXTSB2T1P6wl,0,0,Photos,,,,,Lifetime,3398,1518,103,81,5,17,280,171,109,,,,,,
1235656095100925,100059696381710,avilonROBOTICS,"วันนี้  (28 พ.ย.) ทีมงานเอวิลอนยังคงอยู่ในพื้นที่หาดใหญ่ เพื่อช่วยเหลือผู้ประสบภัย

ในช่วงเช้าทีมงานเอวิลอน เราได้ร่วมทำการแพ็คของที่ได้รับการบริจาคจากทุกท่านในส่วนที่ยังเหลืออยู่ เพื่อนำขึ้นรถ 6 ล้อ และรถกระบะไปบริจาคยังจุดต่าง ๆ ซึ่งสิ่งของที่เราแพ็ควันนี้สามารถทำเป็นถุงยังชีพได้ประมาณพันกว่าชุดเลยค่ะ

โดยในตอนบ่ายทีมงานเอวิลอน ได้นำของบริจาคเข้าไปแจกของตามบ้านแต่ละหลังในพื้นที่เขต 8 ซึ่งซอยนี้น้ำท่วมตั้งแต่วันเสาร์ถึงหลังคาชั้นแรก ตลอด 6 วันไม่มีเรือหรือรถเข้ามาเลย วันนี้น้ำเพิ่งลดวันแรก และทีมเราเป็นทีมแรกที่เข้ามาเลยค่ะ

จากสถานการณ์ปัจจุบันเราคาดว่าพื้นที่หาดใหญ่อาจจะยังต้องใช้เวลาอีกสักพักในการฟื้นฟู ทั้งการขาดน้ำสะอาดในการล้างบ้าน การจัดการกับซากรถที่เสียหาย ซากขยะที่มากับน้ำ ร้านค้าต่าง ๆ ยังคงไม่มีของขาย

ทางทีมเอวิลอนต้องขอขอบคุณ ทั้งทาง วิลล่ามาร์เก็ท (Villa Market) ธนบุรีประกอบรถยนต์ (TAAP) พาร์ทเนอร์ทุกท่าน องค์กร มูลนิธิ และผู้มีส่วนร่วมในการบริจาคสิ่งของครั้งนี้ รวมถึงหน่วยงานราชการ ทั้งทาง CAAT,  บพข., ท่าน ส.ส. ธนยศ, สำนักนายกรัฐมนตรี ที่ช่วยประสานงาน  ทำให้ทางเอวิลอนได้มีโอกาสนำสิ่งของของทุกท่านเข้ามาช่วยเหลือผู้ประสบอุทกภัยที่หาดใหญ่ครั้งนี้ค่ะ 

#น้ำท่วมหาดใหญ่ #น้ำท่วมภาคใต้ #โดรนส่งของ #โดรนขนส่ง #avilonROBOTICS",,0,"11/28/2025 06:58",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid0aeszX5eNVHB7X94or5T4BE7mida5scu4ZYKqiaAUnM12x1cmduWvfQNppkoUuDfpl,0,0,Photos,,,,,Lifetime,1728,609,82,72,5,5,215,109,106,,,,,,
1235488988450969,100059696381710,avilonROBOTICS,"เอวิลอน ใช้โดรนส่งของช่วยน้ำท่วมหาดใหญ่","ภาพวีดีโอการใช้โดรนบินส่งอาหารช่วยเหลือสถานการณ์น้ำท่วมหาดใหญ่ของทีมงานเอวิลอน 

จากการทำงานร่วมกับมูลนิธิกระจกเงา ทีมเอวิลอนได้นั่งรถ GMC เข้าไปยังพื้นที่ที่มีน้ำท่วม เพื่อแจกของให้กับประชาชนที่อยู่ตามซอยต่าง ๆ ในช่วงเวลากลางคืน

โดยโดรนได้ช่วยในการขนย้ายและกระจายของไปในพื้นทีที่รถเข้าถึงไม่ได้ ในหลาย ๆ จุด เช่น บริเวณทางรถไฟ หรือในซอยที่มีน้ำท่วมอยู่ ซึ่งมีขยะ เศษโลหะ ซากตึก สังกะสีลอยอยู่ในน้ำ การเดินเท้าเพื่อขนสิ่งของเข้าไปแจกจ่ายสิ่งของทำได้ลำบาก รวมถึงผู้ประสบภัยที่อาศัยอยู่ภายในพื้นที่ต่าง ๆ ก็ลุยน้ำออกมารับของก็ทำได้ยาก

#น้ำท่วมหาดใหญ่ #น้ำท่วมภาคใต้ #โดรนส่งของ #โดรนขนส่ง #avilonROBOTICS",137,"11/28/2025 02:07",N/A,https://www.facebook.com/avilonROBOTICS/videos/24720641800948889/,0,0,Videos,,,,,Lifetime,1074,588,36,30,0,6,31,,31,,6320.134,7.181,0,0,0
1235305581802643,100059696381710,avilonROBOTICS,"ของบริจาคที่ได้รับจากทุกท่าน ได้นำมาแจกจ่ายถึงมือพี่น้องชาวหาดใหญ่แล้วนะคะ
ทีมเอวิลอนขอขอบคุณทุก ๆ ท่านที่มีส่วนร่วมในครั้งนี้ค่ะ
- บริษัท วิลล่ามาร์เก็ท เจพี จำกัด
- บริษัท ธนบุรีประกอบรถยนต์ จำกัด
- แก้วสมุยรีสอร์ท สนับสนุนสิ่งของมา 1 คันรถสิบล้อ
- มูลนิธิพันดารา
- บริษัท เอสล่า จำกัด
- กองบุญ วิมุตติ
- ทีมงานบริษัท PBD Asia Pacific 
- บริษัท เอเวอร์ไพร์ม ดี ซิสเท่ม จำกัด
- ทีมงานพาร์ทเนอร์ คู่ค้า ของบริษัท
- พี่น้องชาวบางแค และผู้ที่อยู่ใกล้เคียงที่นำของมาช่วยกันค่ะ

โดยสิ่งของบริจาคที่ได้รับ มีทั้งที่เราได้นำมาแจกจ่ายถึงมือผู้ประสบภัยชาวหาดใหญ่โดยตรง และที่เราเข้าร่วมปฏิบัติงานกับทางมูลนิธิกระจกเงาเมื่อคืน ในการเข้าพื้นที่ช่วยแจกสิ่งของ โดยได้มีการใช้โดรนในการบินนำส่งสิ่งของในจุดพื้นที่ที่เข้าถึงได้ยาก ซึ่งเป็นที่ยังคงมีน้ำท่วมอยู่ ทำให้รถ GMC เข้าถึงไม่ได้ จึงใช้โดรนในการขนย้ายสิ่งของแทน

ในส่วนของยาและเวชภัณฑ์ที่ได้รับบริจาคมา เราก็นำส่งให้กับทีมแพทย์และพยาบาลของมูลนิธิกระจกเงา เพื่อใช้ในการดูแลผู้ป่วย

วันนี้น้ำที่หาดใหญ่ลดลงเยอะแล้ว ทีมงานของเราพร้อมรถที่มีจะช่วยนำสิ่งของจากจุดต่าง ๆ มากระจายให้ถึงมือผู้ประสบภัยเพิ่มเติมค่ะ

#น้ำท่วมหาดใหญ่ #น้ำท่วมภาคใต้ #โดรนส่งของ  #โดรนขนส่ง #avilonROBOTICS #VillaMarket #TAAP #KaewsamuiResort #AESLA #มูลนิธิพันดารา #VimuttiCharity #PSABDP #EverprimeDSystem",,0,"11/27/2025 20:19",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid038JbGcW5v29DXcmRnhUP73mQpuLtgAHDzKxWsxBNGFF19PiGTMTqDBVjBoMvVKxozl,0,0,Photos,,,,,Lifetime,1681,653,59,51,2,6,153,81,72,,,,,,
1234595605206974,100059696381710,avilonROBOTICS,"อัพเดทสถานการณ์ทีมเอวิลอนช่วยน้ำท่วมภาคใต้

เมื่อวานหลังจากที่ทางทีมเอวิลอนชุดแรกลงจากเครื่องบิน C130 ของกองทัพอากาศ ทางทีมได้ทำการสำรวจพื้นที่หน้างาน เพื่อหาตำแหน่งที่จะสามารถตั้งฐานปฏิบัติการได้

เมื่อคืนเราพยายามช่วยส่งข้าวให้จุด รพ.ศิครินทร์ ทั้งการเข้าไปช่วยทีมงานพี่ ๆ อาสาในการแจกของ  และในส่วนที่โดรนช่วยได้ตอนนี้จะเป็นอาคารที่มีดาดฟ้า โดยจะใช้วิธีให้โดรนหย่อนของลงไป

ตอนนี้ทางทีมเอวิลอนอยู่บริเวณพื้นที่เขต  8  ถ้ามีจุดไหนที่ยิงติดน้ำท่วมสูงอยู่ และต้องการความช่วยเหลือติดต่อเข้ามาได้ค่ะ

เบื้องต้นตอนนี้ทีมน่าจะสามารถหย่อนของให้ได้บริเวณตึกที่เป็นพื้นที่ดาดฟ้า ที่คนเข้าถึงได้นะคะ

#น้ำท่วมหาดใหญ่ #น้ำท่วมภาคใต้ #โดรนส่งของ #โดรนขนส่ง",,0,"11/26/2025 20:16",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid035FEaNc32BuJkGfL8f3LsL2EHRuFd1Q5Ms35hfq3QHE4TxqXjnFXGFLMNjoWS19Yil,0,0,Photos,,,,,Lifetime,1621,595,53,46,0,7,111,66,45,,,,,,
1233993488600519,100059696381710,avilonROBOTICS,"รถมุ่งหน้าสู่หาดใหญ่ จากความสนับสนุนจากทางธนบุรีประกอบรถยนต์ (TAAP) พร้อมออกเดินทางแล้วค่ะ

ขณะนี้ สิ่งของบริจาคจากพาร์ตเนอร์ของเรา  วิลล่ามาร์เก็ต (Villa Market)  รวมถึงประชาชนทั่วไป — ได้นำทั้งน้ำดื่ม อาหารแห้ง และของจำเป็นต่าง ๆ — ทยอยมาถึงออฟฟิศแล้ว ไม่ว่าจะส่งผ่าน Delivery หรือมาส่งให้ด้วยตนเองที่ออฟฟิศของเรา พวกเราขอบคุณมาก ๆ เลยค่ะ

ทาง Avilon ยังขอเชิญชวนทุกท่าน ร่วมส่งต่อความช่วยเหลือให้พี่น้องที่ประสบภัยน้ำท่วมภาคใต้ ท่านสามารถนำสิ่งของมาบริจาคได้ที่ออฟฟิศของเรา เพื่อใช้ในการจัดส่งต่อ ทั้งด้วยโดรน รวมถึงและช่องทางอื่น ๆ ในพื้นที่ประสบภัย

📞 ติดต่อแหม่มโดยตรงได้ที่ 091-846-0439
🚚 พร้อมรับสายค่ะ

📍 Avilon Robotics - บางแค, หลักสอง
https://maps.app.goo.gl/MoEgyXTCFjaWQNTF6

🕖 รถจะออกราว ๆ 1 ทุ่มนะคะ
หากต้องการส่งของ สามารถนำมาเพื่อให้ไปพร้อมกับคันนี้เลยค่ะ 😊

#น้ำท่วมหาดใหญ่ #โดรนส่งของ #โดรนขนส่ง #avilonrobotics",,0,"11/26/2025 00:38",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid05Lb3dkBChg5LAZGqnxocYfAkMgHX8s7rzMijDGN4WzPByTtpw88N8pY8eEts2Pkkl,0,0,Photos,,,,,Lifetime,3094,1582,75,57,0,18,101,67,27,7,,,,,
1233953428604525,100059696381710,avilonROBOTICS,"ทีมปฏิบัติการชุดแรกของเรากำลังอยู่ในระหว่างเดินทางแล้วค่ะ

มีโดรนบรรทุก 3 ระบบ พร้อมเครื่องมือสื่อสาร และโดรนภาพความร้อน 2 ระบบ โดรนถ่ายภาพขนาดเล็ก 2 ระบบ กำลังออกเดินทางสู่หาดใหญ่ ด้วยความช่วยเหลือของกองทัพอากาศ ผ่านการประสานงานของ สส.ธนยศ ทิมสุวรรณ และ คุณสิริพงศ์ อังคสกุลเกียรติ โฆษกประจำสำนักนายกรัฐมนตรี

นอกจากนี้ยังมีรถบรรทุก 6 ล้อ อีกคันที่กำลังจะออกเดินทางเย็นนี้  ถ้าท่านใดสะดวก สามารถนำสิ่งของมาร่วมกันได้ที่ออฟฟิศเอวิลอน ที่บางแคนะคะ

https://maps.app.goo.gl/HWo2JesWcVxbajDA9 

#น้ำท่วมหาดใหญ่ #โดรนส่งของ #โดรนขนส่ง #avilonrobotics",,0,"11/25/2025 23:34",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid0csxzzdjypVJbokr7ifM5FDnLJyS6wTVS7caoDbrH5Q9RS6drKxywkYkpWdPEUY7Xl,0,0,Photos,,,,,Lifetime,2915,1112,143,111,19,13,334,177,152,5,,,,,
1233857055280829,100059696381710,avilonROBOTICS,"เปิดรับบริจาคสิ่งของช่วยเหลือผู้ประสบภัยน้ำท่วมหาดใหญ่!
.
ทีมงานเอวิลอน พร้อมโดรนขนส่ง และโดรนสำรวจ กำลังเดินทางออกเดินทางไปพื้นที่จังหวัดหาดใหญ่
.
รถอีกคันของทีมเอวิลอน พร้อมโดรน และ สิ่งของบริจาค กำลังจะออกเดินทางไปพื้นที่อำเภอหาดใหญ่ จังหวัดสงขลา เวลา 18.00 น. ของวันนี้ (26 พฤศจิกายน)
.
ตอนนี้รถ 6 ล้อที่จะไปยังมีพื้นที่ว่างอยู่ ขอเชิญผู้สนใจร่วมบริจาคสิ่งของได้ทีออฟฟิศของเอวิลอนที่ บางแค ค่ะ

https://maps.app.goo.gl/oK9dpmPE6yevKnKp8

ขอเป็นของชิ้นเล็กๆ ที่จัดส่งบนโดรนได้นะคะ เน้นน้ำหนักเบา เช่น อาหาร ยา
โดยขอรบกวนให้โทรติดต่อเข้ามาก่อน เพื่อให้ทีมงานเตรียมรับของได้ทันนะคะ ที่เบอร์ 021233830 หรือ 0989489743 หรือ  0918460439

#น้ำท่วมหาดใหญ่ #โดรนส่งของ #โดรนขนส่ง",,0,"11/25/2025 20:12",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid0sAsVv7pVyy8w4iLWidFYRBFeRk6uQ3d4zR4Pk4x8S4oM2d8Xqvb8By8LL5Ypz5rYl,0,0,Photos,,,,,Lifetime,9666,5190,254,201,12,41,416,130,262,24,,,,,
1233333328666535,100059696381710,avilonROBOTICS,"ทีมบริษัท เอวิลอน พร้อมช่วยนำโดรนส่งของ ช่วยผู้ประสบภัยน้ำท่วมหาดใหญ่ 

เรามีโดรนที่บินได้ 5-10 กิโลเมตร 

หน่วยงานในพื้นที่ไหนที่ต้องการความช่วยเหลือสามารถติดต่อเข้ามาได้เลยค่ะ ตอนนี้ทีมงานเราเตรียมพร้อมให้ความช่วยเหลือ แต่ต้องการคนช่วยประสานงานหน้างานในพื้นที่ ว่าจะให้ทีมงานเราเข้าไปตรงไหน เข้าไปได้อย่างไร และจะให้ช่วยจุดไหนบ้างค่ะ

ถ้าใครมีข้อมูลฝากติดต่อทีมเอวิลอนมาได้เลยค่ะ

#น้ำท่วมหาดใหญ่ #โดรนขนส่ง #โดรนส่งของ",,0,"11/25/2025 03:50",N/A,https://www.facebook.com/avilonROBOTICS/posts/pfbid0TKQ2YiqXQ9VuFxcNeZKpAf8QQQhDNjA3xNMixM7Zgst2DEm95bWPJT5UZcQPVekUl,0,0,Photos,,,,,Lifetime,10027,4478,369,283,31,55,809,312,497,,,,,,
